 price   lot floor bath golf lake pool 
 45000 12866  2047  1.5    0    0    0
 49000 16800  1748  2.0    0    0    0
 45500 12700  2029  2.0    0    0    0
 59900 14000  2250  2.5    0    0    0
 51500 13800  2124  2.5    0    0    0
 49900 11875  1834  2.0    0    0    0
 66000 12900  2780  2.5    0    0    0
 35500 12600  1300  2.0    0    0    0
 56500 20618  1820  2.0    0    0    0
 73000 12700  2486  2.5    0    0    0
 68900 10200  2515  2.5    0    0    0
 68800 18900  2392  2.0    0    0    0
 64500 13200  2200  2.5    0    0    0
 55900 10200  2050  2.0    0    1    0
 56250 13500  1600  2.0    0    0    0
 90000 15600  3500  2.5    1    0    0
 71500 17120  2000  2.5    0    0    0
120000 14400  4000  3.5    0    0    0
 68000 15900  2564  2.5    0    0    0
 74900 10200  2515  2.5    0    0    0
100000 16335  3800  3.5    0    0    1
 57500 12240  1854  2.0    0    0    0
 48900 11875  1586  2.0    0    0    0
 47900 12125  1520  2.0    0    0    0
 75900  8800  2200  3.5    0    1    0
 89000 12500  2900  3.0    0    1    0
 90000 15600  3500  2.5    1    0    0
 62500 13500  2064  2.5    0    0    0
 79850 14250  2600  3.5    0    0    0
 55000 11250  2036  2.5    0    0    0
 85000 13600  2140  3.5    1    0    0
106000 13410  3000  3.0    1    0    0
 48750 17020  1600  2.0    0    0    0
109000 14900  3280  2.5    1    0    0
 68000 13800  2559  2.5    0    0    0
 62500  9270  1860  2.0    0    0    0
 57500  9400  1918  2.0    0    0    0
 56900 12825  1750  2.5    0    0    0
 73000 18225  2735  2.5    0    0    0
 99500 12635  2400  2.5    1    0    0
 74500 23265  2194  2.5    0    0    0
 90000 21000  4300  4.5    0    1    0
 72900 12750  2700  2.5    0    0    0
 63900 11250  1996  2.5    0    0    0
 89700 12100  2650  3.0    0    1    0
 47000  9801  1580  2.0    0    0    0
 52200 13400  1874  2.0    0    0    0
 45000 16505  1520  2.0    0    0    0
 43000 14204  1560  2.0    0    0    0
 45900 15571  1776  2.0    0    0    0
 47000 14751  1526  2.0    0    0    0
 67900 15481  2650  2.5    0    0    0
 53500 16400  2450  2.0    0    0    0
 59900 13100  2335  3.0    0    0    0
 52950 15755  1900  2.0    0    0    0
 43000 10500  1750  2.0    0    0    0
 42500 13795  1349  2.0    0    0    0
 47500 13795  1658  2.0    0    0    0
 75500  9150  2450  2.0    0    1    0
 74000  8800  2610  2.5    0    1    0
133700 16800  4000  2.5    1    0    0
125000 13600  3008  3.5    1    0    0
 95000 14600  2249  2.0    1    0    0
 69500 11790  2008  2.5    0    0    0
 98000 13000  2772  2.5    0    0    0
146000 15100  4700  4.0    1    0    1
 78900 16166  4922  3.0    0    0    0
 42500 13795  1272  2.0    0    0    0
 47500 13795  1586  2.0    0    0    0
 52900 14935  1688  2.0    0    0    0
 45500 13795  1520  2.0    0    0    0
 46500 18900  1550  2.0    0    0    0
 56900 16400  1992  2.5    0    0    0
 47900 14200  1740  2.5    0    0    0
 64500 15232  2240  2.5    0    0    0
174900 15600  3500  2.5    1    0    1
 80000 11000  1950  2.0    0    1    0
 49900 14850  1564  2.0    0    0    0
 74500 11790  2200  2.5    0    0    0
