year	ln(p)	ln(z)	ln(y)
1947	-1.868643	1.772658117	-1.494744738
1947.25	-1.82439	1.744589463	-1.499083259
1947.5	-1.794202	1.75163348	-1.492583206
1947.75	-1.752391	1.738420245	-1.517380234
1948	-1.694881	1.749078105	-1.537849819
1948.25	-1.679898	1.754817518	-1.531699179
1948.5	-1.683047	1.755788191	-1.478092717
1948.75	-1.675215	1.761063021	-1.488517862
1949	-1.664185	1.744972453	-1.503222877
1949.25	-1.653635	1.733895283	-1.472128978
1949.5	-1.646097	1.728525685	-1.471945942
1949.75	-1.650255	1.733407718	-1.476707203
1950	-1.673811	1.79879038	-1.472967587
1950.25	-1.68088	1.790024963	-1.426169439
1950.5	-1.662681	1.801201911	-1.42516873
1950.75	-1.644247	1.815619103	-1.441915114
1951	-1.63609	1.810830469	-1.366909174
1951.25	-1.633644	1.825704976	-1.350744037
1951.5	-1.643036	1.830251117	-1.305662904
1951.75	-1.629115	1.830269962	-1.295962313
1952	-1.611235	1.833023987	-1.302003967
1952.25	-1.606667	1.840734005	-1.289128105
1952.5	-1.599344	1.851775287	-1.260313165
1952.75	-1.611675	1.868075998	-1.237295857
1953	-1.588641	1.883863365	-1.257504162
1953.25	-1.569309	1.889274166	-1.26976495
1953.5	-1.530751	1.879287726	-1.286593772
1953.75	-1.514187	1.872780807	-1.316767726
1954	-1.519629	1.865002053	-1.310966242
1954.25	-1.520923	1.858900299	-1.312129805
1954.5	-1.529652	1.862947529	-1.285492433
1954.75	-1.533297	1.881216418	-1.259980549
1955	-1.526895	1.896068176	-1.256820263
1955.25	-1.514087	1.915969585	-1.244692514
1955.5	-1.50317	1.929704406	-1.2475446
1955.75	-1.497266	1.941054734	-1.229021156
1956	-1.495855	1.953151789	-1.219772555
1956.25	-1.4925	1.957754246	-1.208724249
1956.5	-1.462778	1.954281607	-1.243311209
1956.75	-1.456524	1.96472651	-1.21439484
1957	-1.439695	1.965723788	-1.210488423
1957.25	-1.429899	1.963770363	-1.230166787
1957.5	-1.436885	1.961558294	-1.195939632
1957.75	-1.441101	1.953856946	-1.198456095
1958	-1.451012	1.939184183	-1.174801836
1958.25	-1.458147	1.93174824	-1.12918978
1958.5	-1.432686	1.950401989	-1.144555725
1958.75	-1.462454	1.960971667	-1.101692531
1959	-1.463897	1.997741979	-1.089021298
1959.25	-1.446754	2.012509546	-1.098127306
1959.5	-1.436885	2.006499501	-1.110286568
1959.75	-1.409223	2.010508517	-1.127045712
1960	-1.424341	2.022621912	-1.112192323
1960.25	-1.422958	2.024552881	-1.068059591
1960.5	-1.39567	2.023172499	-1.116067112
1960.75	-1.398367	2.015644334	-1.115395713
1961	-1.406497	2.020959189	-1.111793254
1961.25	-1.442513	2.031002311	-1.057153506
1961.5	-1.411953	2.037923627	-1.097297391
1961.75	-1.422958	2.052871962	-1.084308729
1962	-1.42573	2.059667611	-1.055688757
1962.25	-1.414694	2.068672002	-1.061158846
1962.5	-1.420195	2.071561036	-1.048272548
1962.75	-1.399716	2.077724099	-1.056643686
1963	-1.409223	2.08359691	-1.041024876
1963.25	-1.428505	2.087363968	-1.009187026
1963.5	-1.413324	2.092941483	-1.033090342
1963.75	-1.420195	2.103905926	-1.014724956
1964	-1.407992	2.11677421	-1.00186584
1964.25	-1.42072	2.129705472	-0.972319418
1964.5	-1.431844	2.140813592	-0.944704483
1964.75	-1.424266	2.151505569	-0.956785527
1965	-1.403762	2.166016834	-0.969819136
1965.25	-1.383199	2.173956977	-0.960938073
1965.5	-1.376106	2.192269611	-0.957828198
1965.75	-1.378029	2.208826656	-0.933639049
1966	-1.375659	2.2191549	-0.917318236
1966.25	-1.372786	2.221366251	-0.889849316
1966.5	-1.356708	2.231421736	-0.893193792
1966.75	-1.350005	2.242492555	-0.8924788
1967	-1.34196	2.256034508	-0.896183739
1967.25	-1.331806	2.256628149	-0.891828138
1967.5	-1.32677	2.265590093	-0.880709286
1967.75	-1.329283	2.270227973	-0.855586272
1968	-1.31926	2.285199988	-0.830968258
1968.25	-1.325512	2.301740745	-0.801831249
1968.5	-1.313044	2.310677398	-0.782499476
1968.75	-1.311807	2.31719563	-0.772770748
1969	-1.298283	2.320610241	-0.754949641
1969.25	-1.277738	2.325116248	-0.737199246
1969.5	-1.278937	2.332023463	-0.715884054
1969.75	-1.284941	2.332187051	-0.676786895
1970	-1.292196	2.329225913	-0.636764869
1970.25	-1.272966	2.33446704	-0.642094689
1970.5	-1.277738	2.333073001	-0.611145695
1970.75	-1.265848	2.326408423	-0.604780107
1971	-1.269401	2.337194099	-0.582194813
1971.25	-1.289774	2.349033319	-0.536242444
1971.5	-1.264668	2.349412647	-0.548683452
1971.75	-1.258781	2.359271981	-0.546409076
1972	-1.271777	2.379553854	-0.513280419
1972.25	-1.277738	2.38598812	-0.499272153
1972.5	-1.249434	2.401728549	-0.50906162
1972.75	-1.234432	2.43083526	-0.4952216
1973	-1.224175	2.438292576	-0.461190026
