fans  cens
004.5  1
004.6  0
011.5  1
011.5  1
015.6  0
016.0  1
016.6  0
018.5  0
018.5  0
018.5  0
018.5  0
018.5  0
020.3  0
020.3  0
020.3  0
020.7  1
020.7  1
020.8  1
022.0  0
030.0  0
030.0  0
030.0  0
030.0  0
031.0  1
032.0  0
034.5  1
037.5  0
037.5  0
041.5  0
041.5  0
041.5  0
041.5  0
043.0  0
043.0  0
043.0  0
043.0  0
046.0  1
048.5  0
048.5  0
048.5  0
048.5  0
050.0  0
050.0  0
050.0  0
061.0  0
061.0  1
061.0  0
061.0  0
063.0  0
064.5  0
064.5  0
067.0  0
074.5  0
078.0  0
078.0  0
081.0  0
081.0  0
082.0  0
085.0  0
085.0  0
085.0  0
087.5  0
087.5  1
087.5  0
094.0  0
099.0  0
101.0  0
101.0  0
101.0  0
115.0  0
