   dur cens   sp   rc  ed ben  wage    a1   a2   a3     a4 lapse
   13    1    1    1   12 4.46 4.81    0    0     0     1     0
   22    1    0    1   12 4.88 5.70    0    1     0     0     0
    1    1    1    1   12 4.88 5.41    0    1     0     0     0
    6    1    0    1   16 4.70 5.21    0    1     0     0     0
    9    1    0    1   16 4.96 5.29    0    1     0     0     0
   24    1    1    0    5 4.61 4.89    0    0     0     1     0
    3    1    1    1   14 4.99 5.44    1    0     0     0     0
   12    1    1    1   12 4.58 5.37    0    0     1     0     0
    8    1    1    1   13 4.69 5.08    0    1     0     0     0
   18    1    1    0    4 3.85 3.97    0    0     0     0     0
    1    1    0    1   12 4.42 4.66    1    0     0     0     0
   15    1    1    1   12 4.52 4.91    0    1     0     0     0
   20    1    1    1   16 4.55 5.14    0    0     1     0     0
    5    1    1    0   10 4.28 4.68    0    1     0     0     0
   25    1    1    1   11 4.99 5.56    0    1     0     0     0
    1    1    1    1   12 4.71 5.01    1    0     0     0     0
    7    1    0    1   12 4.52 5.08    0    1     0     0     0
    7    1    1    1   10 4.99 5.41    0    0     1     0     0
   12    0    1    0    0 5.02 5.09    0    0     0     1     0
    1    1    1    0   12 4.61 5.14    0    0     0     1     0
   26    1    1    1   12 4.90 5.09    0    1     0     0     0
   23    1    1    1   14 4.59 4.89    0    1     0     0     0
   12    1    0    1   12 4.35 4.55    1    0     0     0     0
   26    0    0    0   10 4.52 5.29    0    1     0     0     0
    6    1    1    1   14 4.99 5.78    1    0     0     0     0
    7    1    1    0   12 4.61 4.99    0    0     1     0     0
   35    1    1    0   12 4.55 5.50    0    1     0     0     0
    1    1    0    0    7 4.46 5.16    0    0     0     1     0
   38    0    1    1   12 4.83 5.40    0    1     0     0     0
    4    1    1    1   12 4.52 5.70    0    1     0     0     0
   24    0    1    1   17 4.83 5.05    0    0     1     0     0
    5    1    0    1   11 4.71 4.82    0    1     0     0     0
   28    1    1    1   11 4.99 5.82    0    0     0     1     0
    1    1    1    1   14 5.00 5.83    0    1     0     0     0
    8    1    1    1   12 4.60 4.97    1    0     0     0     0
    6    1    0    1   13 4.46 4.70    1    0     0     0     0
    1    1    1    1   10 4.51 4.81    0    0     0     1     0
    3    1    1    1   10 3.79 3.96    0    1     0     0     0
    7    0    0    1   12 4.35 4.42    0    1     0     0     0
    7    0    1    0   12 4.41 4.55    0    1     0     0     0
    8    1    1    1   13 4.47 4.84    1    0     0     0     0
   18    0    1    1    8 4.98 5.08    0    0     0     0     0
    3    1    1    1   11 4.58 5.17    0    0     0     0     0
   16    0    1    1   16 5.04 5.80    0    0     0     1     0
    3    1    1    1   12 5.00 5.34    0    1     0     0     0
    4    1    1    1    8 4.47 4.81    0    0     0     0     0
   15    1    1    1   16 4.61 6.01    0    1     0     0     0
   15    1    1    1   12 4.81 4.89    0    1     0     0     0
   16    0    1    1   12 3.95 4.01    1    0     0     0     0
   17    1    1    0   11 4.12 4.55    0    1     0     0     0
    5    1    0    1   11 4.79 5.20    1    0     0     0     0
    8    1    1    1   11 4.52 5.12    0    0     0     1     0
    8    1    1    1   12 4.28 5.01    0    1     0     0     0
   10    1    1    1   11 4.88 5.70    0    1     0     0     0
    8    1    0    1   12 4.46 4.91    1    0     0     0     0
   32    1    0    1   15 4.69 5.09    0    1     0     0     0
   26    1    0    1   12 3.90 4.47    1    0     0     0     0
   19    1    0    1   10 4.88 5.26    0    0     0     1     0
    4    1    1    1   12 5.00 5.24    0    1     0     0     0
   25    1    0    0   12 4.46 4.83    0    1     0     0     0
    3    1    1    0   12 4.58 5.21    0    0     1     0     0
   15    1    1    1   12 4.87 5.32    1    0     0     0     0
   14    1    0    1   10 4.87 5.34    0    0     1     0     0
   25    0    0    1   13 4.90 5.49    0    1     0     0     0
   26    0    1    1   15 4.28 5.67    0    0     0     0     0
   14    1    1    1   10 4.96 5.23    0    0     0     1     0
   15    1    1    1   13 4.27 4.51    0    1     0     0     0
   11    1    1    1    8 3.61 3.95    0    0     0     0     0
    2    1    0    1   14 4.51 4.77    1    0     0     0     0
    4    1    1    1   14 4.92 5.19    0    1     0     0     0
   12    1    0    1   12 4.88 5.23    0    1     0     0     0
    7    1    1    1   16 4.52 5.37    0    1     0     0     0
    8    1    1    1   12 4.52 5.60    0    0     1     0     0
    1    1    1    1   14 4.94 5.20    0    0     1     0     0
   38    1    1    1   11 4.38 4.85    0    1     0     0     0
    1    1    1    1    6 4.52 5.29    0    0     0     1     0
   38    1    1    1   12 4.99 5.48    0    0     0     0     0
   12    0    1    1   12 4.81 5.22    0    1     0     0     0
   15    0    1    1   13 4.81 4.86    0    1     0     0     0
    9    1    0    0    8 4.59 4.97    0    1     0     0     0
    3    1    0    1   12 4.55 4.98    0    0     0     1     0
    2    1    1    0    6 4.54 4.77    0    0     0     0     0
   26    0    1    1   14 4.61 5.09    0    1     0     0     0
   26    0    0    1   12 4.41 4.78    0    1     0     0     0
   28    1    1    1   12 4.90 5.03    0    1     0     0     0
    7    1    0    0   17 4.61 5.47    0    0     0     1     0
   28    0    1    1    7 4.99 5.29    0    1     0     0     0
   13    0    1    1   12 4.53 5.11    0    0     1     0     0
   27    1    1    1    7 4.61 4.91    0    1     0     0     0
    3    1    1    1   12 4.87 5.36    0    1     0     0     0
    9    1    1    1   12 5.00 5.63    0    1     0     0     0
    5    1    0    1   12 4.74 5.18    0    1     0     0     0
   16    1    1    1   10 4.61 5.26    0    0     1     0     0
   28    1    0    1   14 4.89 5.48    0    0     0     1     0
   25    1    1    1   12 4.61 5.09    0    0     0     1     0
    2    1    0    1   12 4.89 5.20    1    0     0     0     0
    5    1    1    1    8 4.37 4.94    0    0     0     1     0
   33    1    0    1   14 4.61 5.10    1    0     0     0     0
    1    1    1    1   12 4.28 5.10    0    0     0     1     0
    6    1    0    1   16 4.28 5.07    0    1     0     0     0
   14    1    1    1   14 4.63 5.41    0    0     1     0     0
   26    0    1    1   12 4.61 4.94    0    1     0     0     0
    3    1    0    1   12 4.45 4.79    0    1     0     0     0
   12    0    1    0   17 4.81 4.90    0    1     0     0     0
   18    0    1    1   12 4.52 4.68    0    0     1     0     0
    1    1    1    0   11 4.28 5.25    0    1     0     0     0
    8    1    0    0   12 4.46 4.82    0    0     1     0     0
   39    0    0    1   12 4.96 5.52    1    0     0     0     0
   12    1    1    1   12 4.83 4.91    0    0     1     0     0
    6    0    1    0   10 4.18 4.46    1    0     0     0     0
   14    1    1    1   12 4.99 5.58    0    0     1     0     0
    3    1    1    1   12 4.16 4.56    0    1     0     0     0
