 time  accel 
 2.4 0
 65.6 -21.5
 23.4 -128.5
 34.8 75
 2.6 -1.3
 15.8 -21.5
 24 -112.5
 35.2 -16
 3.2 -2.7
 15.8 -50.8
 24.2 -95.1
 35.2 -54.9
 3.6 0
 16 -42.9
 24.2 -81.8
 35.4 69.6
 4 -2.7
 16 -26.8
 24.6 -53.5
 35.6 34.8
 6.2 -2.7
 16.2 -21.5
 25 -64.4
 35.6 32.1
 6.6 -2.7
 16.2 -50.8
 25 -57.6
 36.2 -37.5
 6.8 -1.3
 16.2 -61.7
 25.4 -72.3
 36.2 22.8
 7.8 -2.7
 16.4 -5.4
 25.4 -44.3
 38 46.9
 8.2 -2.7
 16.4 -80.4
 25.6 -26.8
 38 10.7
 8.8 -1.3
 16.6 -59
 26 -5.4
 39.2 5.4
 8.8 -2.7
 16.8 -71
 26.2 -107.1
 39.4 -1.3
 9.6 -2.7
 16.8 -91.1
 26.2 -21.5
 40 -21.5
 10 -2.7
 16.8 -77.7
 26.4 -65.6
 40.4 -13.3
 10.2 -5.4
 17.6 -37.5
 27 -16
 41.6 30.8
 10.6 -2.7
 17.6 -85.6
 27.2 -45.6
 41.6 -10.7
 11 -5.4
 17.6 -123.1
 27.2 -24.2
 42.4 29.4
 11.4 0
 17.6 -101.9
 27.2 9.5
 42.8 0
 13.2 -2.7
 17.8 -99.1
 27.6 4
 42.8 -10.7
 13.6 -2.7
 17.8 -104.4
 28.2 12
 43 14.7
 13.8 0
 18.6 -112.5
 28.4 -21.5
 44 -1.3
 14.6 -13.3
 18.6 -50.8
 28.4 37.5
 44.4 0
 14.6 -5.4
 19.2 -123.1
 28.6 46.9
 45 10.7
 14.6 -5.4
 19.4 -85.6
 29.4 -17.4
 46.6 10.7
 14.6 -9.3
 19.4 -72.3
 30.2 36.2
 47.8 -26.8
 14.6 -16
 19.6 -127.2
 31 75
 47.8 -14.7
 14.6 -22.8
 20.2 -123.1
 31.2 8.1
 48.8 -13.3
 14.8 -2.7
 20.4 -117.9
 32 54.9
 50.6 0
 15.4 -22.8
 21.2 -134
 32 48.2
 52 10.7
 15.4 -32.1
 21.4 -101.9
 32.8 46.9
 53.2 -14.7
 15.4 -53.5
 21.8 -108.4
 33.4 16
 55 -2.7
 15.4 -54.9
 22 -123.1
 33.8 45.6
 55 10.7
 15.6 -40.2
 23.2 -123.1
 34.4 1.3
 55.4 -2.7
 57.6 10.7
