pay     market.val   log.pay      val.decile
    421633      13.685   12.95189          1
    598616      16.623   13.30238          1
    604333      31.245   13.31188          1
    302250      38.022   12.61901          1
    217833       40.24   12.29148          1
    333554       42.34   12.71756          1
    653811       44.19   13.39057          1
   1492066      46.885   14.21567          1
   6207411      52.167   15.64125          1
    903625      52.542   13.71417          1
    373282      53.175   12.83009          1
    222748      53.699    12.3138          1
    403200      55.946   12.90719          1
    792802      56.668   13.58333          1
    801208      57.112   13.59388          1
    342209      57.698   12.74318          1
    751868       58.59   13.53032          1
    720077      61.505   13.48711          1
    421506      61.677   12.95159          1
    368537      63.244    12.8173          1
   1964153      70.044   14.49057          1
    709831      71.171   13.47278          1
   1426734      71.464    14.1709          1
    545409      72.739   13.20929          1
    940423      74.729   13.75408          1
    627606      75.589   13.34967          1
    460600      76.824   13.04029          1
   1102003      78.198   13.91264          1
    486525      79.715   13.09504          1
    611542      82.479   13.32374          1
   1181203      82.743   13.98204          1
    718931      83.455   13.48552          1
   2885415      83.662   14.87518          1
   1187500       86.94   13.98736          1
   1278483      88.253   14.06118          1
    697681      88.619   13.45552          1
    841277      89.746   13.64268          1
   1381570      90.711   14.13873          1
    421973      91.584    12.9527          1
    600325      91.624   13.30523          1
   1510956      91.943   14.22825          1
    325000      94.294   12.69158          1
  12011304      96.247   16.30136          1
   5658053       98.02   15.54859          1
    287850      98.085    12.5702          1
    565553      98.158   13.24556          1
    956870     100.324   13.77142          1
    292893     102.775   12.58756          1
    579558     104.012   13.27002          1
    907342     104.273   13.71828          1
    827666     104.313   13.62636          1
    507478     105.326   13.13721          1
    847938     107.089   13.65056          1
  11070856     109.375   16.21983          1
   1034375     109.548   13.84931          1
    648777     110.299   13.38284          1
   3733147     110.565   15.13276          1
   1223447      112.16   14.01718          1
    597042     112.966   13.29974          1
    946704     114.214   13.76074          1
    965581     114.551   13.78049          1
    505528      114.66   13.13336          1
    746647     118.116   13.52335          1
    731906     118.396   13.50341          1
    555911     119.238   13.22836          1
   1365978      119.72   14.12738          1
   1115379     119.882    13.9247          1
    277248     121.033   12.53267          1
    637681     121.274   13.36559          1
    364120     121.837   12.80524          1
   1097802     126.166   13.90882          1
    402673     126.595   12.90588          1
    535767     127.305   13.19145          1
   1005657      127.31   13.82115          1
    919970     128.311    13.7321          1
   1087040      129.97   13.89897          1
    985701     132.387   13.80111          1
    499755     133.398   13.12187          1
   1769133     133.429     14.386          1
    984028     133.877   13.79941          1
    810433     134.004   13.60532          1
    588637     136.141   13.28557          1
    972776     136.793   13.78791          1
   1831279     137.024   14.42053          1
    650526     137.849   13.38554          1
